Temperature (K)    Cooling (erg cm^3 s^-1)    Cooling (0.3<Ebin<8 keV) 
0.000000e+00 	 0.000000e+00 	 0.000000e+00 
1.001001e-01 	 1.002003e-02 	 1.003006e-03 
2.002002e-01 	 4.008012e-02 	 8.024048e-03 
3.003003e-01 	 9.018027e-02 	 2.708116e-02 
4.004004e-01 	 1.603205e-01 	 6.419238e-02 
5.005005e-01 	 2.505008e-01 	 1.253758e-01 
6.006006e-01 	 3.607211e-01 	 2.166493e-01 
7.007007e-01 	 4.909815e-01 	 3.440311e-01 
8.008008e-01 	 6.412819e-01 	 5.135391e-01 
9.009009e-01 	 8.116224e-01 	 7.311914e-01 
1.001001e+00 	 1.002003e+00 	 1.003006e+00 
1.101101e+00 	 1.212424e+00 	 1.335001e+00 
1.201201e+00 	 1.442884e+00 	 1.733194e+00 
1.301301e+00 	 1.693385e+00 	 2.203604e+00 
1.401401e+00 	 1.963926e+00 	 2.752248e+00 
1.501502e+00 	 2.254507e+00 	 3.385145e+00 
1.601602e+00 	 2.565128e+00 	 4.108313e+00 
1.701702e+00 	 2.895789e+00 	 4.927769e+00 
1.801802e+00 	 3.246490e+00 	 5.849531e+00 
1.901902e+00 	 3.617231e+00 	 6.879618e+00 
2.002002e+00 	 4.008012e+00 	 8.024048e+00 
2.102102e+00 	 4.418833e+00 	 9.288839e+00 
2.202202e+00 	 4.849695e+00 	 1.068001e+01 
2.302302e+00 	 5.300596e+00 	 1.220357e+01 
2.402402e+00 	 5.771537e+00 	 1.386556e+01 
2.502503e+00 	 6.262519e+00 	 1.567197e+01 
2.602603e+00 	 6.773540e+00 	 1.762883e+01 
2.702703e+00 	 7.304602e+00 	 1.974217e+01 
2.802803e+00 	 7.855704e+00 	 2.201799e+01 
2.902903e+00 	 8.426845e+00 	 2.446231e+01 
3.003003e+00 	 9.018027e+00 	 2.708116e+01 
3.103103e+00 	 9.629249e+00 	 2.988055e+01 
3.203203e+00 	 1.026051e+01 	 3.286650e+01 
3.303303e+00 	 1.091181e+01 	 3.604503e+01 
3.403403e+00 	 1.158315e+01 	 3.942215e+01 
3.503504e+00 	 1.227454e+01 	 4.300388e+01 
3.603604e+00 	 1.298596e+01 	 4.679625e+01 
